relationship_element_id,start_node_element_id,end_node_element_id
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221942,4:699adb08-f1e5-4be8-b17b-792b62a6747d:647,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1206
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221943,4:699adb08-f1e5-4be8-b17b-792b62a6747d:647,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1207
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221944,4:699adb08-f1e5-4be8-b17b-792b62a6747d:647,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1208
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221945,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1209
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221946,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1210
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221947,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1211
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221948,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1212
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221949,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1213
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6919786325012907194,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1210
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221950,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1214
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221951,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1215
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221952,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1216
